label_id,label_name
0,user_item_low
1,user_item_high
2,item_user_high
3,item_user_low
4,cinematography
5,productionCompanies
6,composer
7,subject
8,openingFilm
9,rdf-schema#seeAlso
10,story
11,series 
12,rdf-syntax-ns#type
13,basedOn
14,starring
15,country
16,wikiPageWikiLink
17,hypernym
18,editing
19,producers
20,allWriting
21,notableWork
22,director
23,award
24,cinematography
25,productionCompanies
26,composer
27,subject
28,openingFilm
29,rdf-schema#seeAlso
30,story
31,series 
32,rdf-syntax-ns#type
33,basedOn
34,starring
35,country
36,wikiPageWikiLink
37,hypernym
38,editing
39,producers
40,allWriting
41,notableWork
42,director
43,award